simulation,kraftstoff,energie,arbeitskosten,kreditzins,kraftstoff_aenderung_prozent,energie_aenderung_prozent,arbeitskosten_aenderung_prozent,kreditzins_aenderung_prozentpunkte
1,174.1,144.5,136.684714833,4.27,3.3234421365,-0.207182320442,2.39859370297,-0.09
2,167.8,143.9,124.919575439,4.47,-0.415430267062,-0.621546961326,-6.4153671714,0.11
3,162.2,144,144.551595951,4.35,-3.73887240356,-0.552486187845,8.29213903749,-0.01
4,169.8,144.3,144.551595951,4.23,0.771513353116,-0.345303867403,8.29213903749,-0.13
5,169.9,144.3,128.393411802,4.29,0.830860534125,-0.345303867403,-3.81291115555,-0.07
6,161.7,143.2,125.070398149,4.32,-4.03560830861,-1.10497237569,-6.30237696994,-0.04
7,167.3,144.2,128.393411802,4.29,-0.712166172107,-0.414364640884,-3.81291115555,-0.07
8,168.3,143.8,144.551595951,4.3,-0.118694362018,-0.690607734807,8.29213903749,-0.06
9,167.8,144.2,122.121664327,4.35,-0.415430267062,-0.414364640884,-8.51144765439,-0.01
10,168.2,144.9,135.295494737,4.32,-0.178041543027,0.0690607734807,1.35784686952,-0.04
11,164.5,143.4,158.476199458,4.3,-2.37388724036,-0.966850828729,18.7238820361,-0.06
12,171,144.3,136.684714833,4.6,1.48367952522,-0.345303867403,2.39859370297,0.24
13,170.3,144.2,125.070398149,4.23,1.06824925816,-0.414364640884,-6.30237696994,-0.13
14,168.4,143.3,122.121664327,4.38,-0.0593471810089,-1.03591160221,-8.51144765439,0.02
15,170.2,144.8,137.824842105,4.27,1.00890207715,0,3.25273038909,-0.09
16,164.3,144.5,138.648217105,4.32,-2.49258160237,-0.207182320442,3.86956923748,-0.04
17,174.6,144.8,125.070398149,4.23,3.62017804154,0,-6.30237696994,-0.13
18,165.4,144.2,136.684714833,4.27,-1.83976261128,-0.414364640884,2.39859370297,-0.09
19,166.2,145.1,144.551595951,4.36,-1.3649851632,0.207182320442,8.29213903749,0
20,192.4,141,128.393411802,4.21,14.1839762611,-2.62430939227,-3.81291115555,-0.15
21,165.7,144.8,136.684714833,4.47,-1.66172106825,0,2.39859370297,0.11
22,168.2,144.9,125.070398149,4.32,-0.178041543027,0.0690607734807,-6.30237696994,-0.04
23,166.2,144,158.476199458,4.55,-1.3649851632,-0.552486187845,18.7238820361,0.19
24,170.8,143.8,122.121664327,4.29,1.3649851632,-0.690607734807,-8.51144765439,-0.07
25,177.5,144.5,136.684714833,4.42,5.3412462908,-0.207182320442,2.39859370297,0.06
26,165.5,144.5,158.476199458,4.21,-1.78041543027,-0.207182320442,18.7238820361,-0.15
27,176,144.8,135.295494737,4.23,4.45103857567,0,1.35784686952,-0.13
28,167.4,146.3,144.551595951,4.31,-0.652818991098,1.03591160221,8.29213903749,-0.05
29,170.2,146.1,128.393411802,4.36,1.00890207715,0.897790055249,-3.81291115555,0
30,175.7,144.2,128.393411802,4.31,4.27299703264,-0.414364640884,-3.81291115555,-0.05
